Player,Average,Baseline Avg,True Average (%),Strike Rate,Baseline SR,True SR (%),Runs,Outs,Balls,Norm True Avg,Norm True SR,Total Batting Impact
TH David,93.5,30.2,209.55,174.77,144.41,21.02,187,2,107,1.0,0.8991405016663742,0.9495702508331871
SA Yadav,72.88,29.0,151.29,166.1,140.89,17.89,583,8,351,0.7843500148060407,0.844237853008244,0.8142939339071424
Naman Dhir,37.2,27.24,36.56,177.14,139.74,26.77,186,5,105,0.35967574770506366,0.9999999999999998,0.6798378738525317
N Pooran,51.1,34.85,46.64,183.15,149.29,22.69,511,10,279,0.3969869706840391,0.9284336081389228,0.6627102894114809
A Mhatre,34.33,30.31,13.26,182.3,148.68,22.61,206,6,113,0.2734305596683447,0.9270303455534115,0.600230452610878
V Suryavanshi,36.0,36.58,-1.58,195.35,158.1,23.56,252,7,129,0.21850014806040863,0.9436940887563583,0.5810971184083835
Abhishek Sharma,37.0,32.6,13.5,181.7,151.05,20.29,407,11,224,0.274318922120225,0.8863357305735835,0.5803273263469042
JC Buttler,66.62,39.89,67.04,161.52,149.77,7.84,533,8,330,0.4724977790938703,0.6679529907033852,0.5702253848986277
Priyansh Arya,32.77,32.22,1.69,186.84,155.46,20.19,426,13,228,0.23060408646727865,0.8845816523416943,0.5575928694044865
KL Rahul,63.88,36.49,75.05,146.84,143.68,2.2,511,8,348,0.5021468759253775,0.5690229784248376,0.5355849271751076
SS Iyer,48.33,32.22,49.99,166.67,155.46,7.21,435,9,261,0.4093870299082025,0.6569022978424837,0.5331446638753431
Shashank Singh,68.25,30.93,120.68,143.68,156.02,-7.9,273,4,190,0.6710467870891323,0.3918610770040343,0.5314539320465833
Shubman Gill,70.67,39.89,77.17,150.0,149.77,0.15,636,9,424,0.5099940775836541,0.5330643746711102,0.5215292261273822
V Kohli,60.89,33.06,84.19,142.34,145.33,-2.06,548,9,385,0.5359786793011548,0.4942992457463602,0.5151389625237575
P Simran Singh,42.33,32.22,31.37,168.77,155.46,8.57,508,12,301,0.3404649096831507,0.680757761796176,0.5106113357396633
PD Salt,33.44,32.67,2.37,165.38,145.93,13.33,301,9,182,0.23312111341427302,0.7642518856340992,0.4986864995241861
T Stubbs,48.0,35.7,34.47,152.38,144.99,5.1,288,6,189,0.35193959135327213,0.6198912471496227,0.48591541925144743
D Brevis,33.6,26.73,25.68,158.49,148.53,6.71,168,5,106,0.3194033165531537,0.648131906683038,0.48376761161809584
MR Marsh,46.67,34.69,34.54,155.12,150.14,3.32,560,12,361,0.3521986970684039,0.588668654621996,0.47043367584519996
Ashutosh Sharma,40.8,32.04,27.36,147.83,141.04,4.81,204,5,138,0.32562185371631625,0.6148044202771442,0.47021313699673023
N Wadhera,40.0,30.34,31.84,153.85,153.5,0.23,280,7,182,0.3422046194847498,0.5344676372566215,0.43833612837068564
B Sai Sudharsan,53.17,39.89,33.29,148.72,149.77,-0.7,638,12,429,0.34757180929819365,0.5181547097000525,0.4328632594991231
YBK Jaiswal,43.0,36.45,17.96,155.71,152.38,2.19,559,13,359,0.2908276576843352,0.5688475706016487,0.42983761414299193
RD Rickelton,30.08,29.0,3.74,146.75,140.89,4.16,361,12,246,0.23819218241042345,0.6034029117698648,0.42079754709014416
AD Russell,27.83,28.22,-1.36,151.82,144.5,5.07,167,6,110,0.21931448030796563,0.6193650236800561,0.41933975199401086
RK Singh,32.83,29.09,12.88,148.12,145.2,2.01,197,6,133,0.27202398578620074,0.5656902297842482,0.41885710778522445
A Raghuvanshi,35.75,28.9,23.72,144.44,144.98,-0.37,286,8,198,0.312148356529464,0.5239431678652867,0.4180457621973753
H Klaasen,38.2,32.6,17.18,151.59,151.05,0.36,382,10,252,0.287940479715724,0.5367479389580774,0.4123442093369007
