Bowler,Balls,Raw ER,True ER (%),True ER,True Runs Conceded,True Wickets,True Bowling Average,Norm Avg,Norm ER,Total Bowling Impact,Bowling Impact Points
R Ashwin,4868,7.05,-9.63,6.37,5170.14,220.0,23.5,0.7207088071938641,0.8610038610038608,0.7908563340988625,3849.8886343932627
SP Narine,4397,6.81,-15.58,5.74,4210.0,179.5,23.45,0.7220312086749537,0.9826254826254825,0.8523283456502182,3747.6877358240095
B Kumar,4317,7.56,-5.81,7.12,5123.17,220.5,23.23,0.7278497751917482,0.716216216216216,0.7220329957039822,3117.016442454091
JJ Bumrah,3401,7.18,-15.7,6.05,3430.93,173.5,19.77,0.8193599576831526,0.9227799227799227,0.8710699402315376,2962.5088667274595
YS Chahal,3857,7.83,-3.68,7.55,4850.64,204.5,23.72,0.7148902406770696,0.633204633204633,0.6740474369408513,2599.800964280864
Harbhajan Singh,3496,7.04,-2.09,6.89,4015.26,167.0,24.04,0.7064268711980958,0.7606177606177607,0.7335223159079283,2564.3940164141172
Rashid Khan,3189,7.13,-9.2,6.47,3440.25,151.5,22.71,0.7416027505950806,0.8416988416988416,0.7916507961469611,2524.574388912659
SL Malinga,2974,7.03,-10.49,6.3,3120.49,153.0,20.4,0.802697699021423,0.8745173745173744,0.8386075367693987,2494.018814352192
A Mishra,3444,7.3,-0.88,7.24,4156.01,159.0,26.14,0.6508860089923301,0.6930501930501929,0.6719681010212615,2314.2581399172245
AR Patel,3371,7.37,-5.07,6.99,3928.28,136.5,28.78,0.581063210790796,0.7413127413127412,0.6611879760517686,2228.8646672705117
PP Chawla,3895,7.98,2.59,8.18,5313.19,193.5,27.46,0.615974609891563,0.5115830115830116,0.5637788107372873,2195.918467821734
RA Jadeja,4109,7.63,2.33,7.81,5346.53,159.0,33.63,0.4527902671250992,0.583011583011583,0.5179009250683411,2128.0549011058133
Sandeep Sharma,3168,7.83,-1.31,7.73,4079.7,177.0,23.05,0.732610420523671,0.5984555984555984,0.6655330094896347,2108.4085740631626
DW Steyn,2282,6.79,-11.51,6.01,2285.78,106.0,21.56,0.7720179846601428,0.9305019305019304,0.8512599575810367,1942.5752231999256
TA Boult,2714,8.12,-0.78,8.06,3646.28,183.0,19.93,0.8151282729436657,0.5347490347490345,0.6749386538463501,1831.783506538994
DJ Bravo,3296,8.08,-2.19,7.9,4338.87,135.5,32.02,0.4953715948161862,0.5656370656370655,0.5305043302266259,1748.542272426959
Z Khan,2276,7.54,-2.73,7.33,2781.99,137.5,20.23,0.8071938640571278,0.6756756756756757,0.7414347698664017,1687.50553621593
UT Yadav,3190,8.35,8.68,9.08,4827.43,176.0,27.43,0.6167680507802169,0.3378378378378377,0.4773029443090273,1522.596392345797
CV Varun,1911,7.47,-8.64,6.82,2172.44,106.5,20.4,0.802697699021423,0.774131274131274,0.7884144865763485,1506.660083847402
KH Pandya,2423,7.39,-1.04,7.31,2951.96,100.0,29.52,0.5614916688706691,0.6795366795366795,0.6205141742036744,1503.505844095503
P Kumar,2637,7.6,2.09,7.76,3412.01,112.0,30.46,0.5366305210261836,0.5926640926640927,0.5646473068451381,1488.9749481506292
Mohammed Siraj,2397,8.39,-2.64,8.16,3261.57,132.5,24.62,0.6910870140174556,0.5154440154440154,0.6032655147307355,1446.0274388095731
DL Chahar,1990,7.82,2.52,8.02,2658.44,147.0,18.08,0.8640571277439831,0.5424710424710424,0.7032640851075127,1399.4955293639503
Mohammed Shami,2708,8.49,3.99,8.83,3986.89,151.0,26.4,0.6440095212906639,0.386100386100386,0.5150549536955249,1394.7688146074813
A Nehra,1974,7.71,-0.64,7.66,2520.8,119.0,21.18,0.7820682359164243,0.6119691119691117,0.697018673942768,1375.914862363024
I Sharma,2546,8.17,5.97,8.65,3671.71,142.0,25.86,0.6582914572864322,0.4208494208494207,0.5395704390679265,1373.7463378669408
SR Watson,2137,7.7,-0.59,7.65,2725.87,105.0,25.96,0.6556466543242528,0.6138996138996138,0.6347731341119334,1356.5101875972016
MM Sharma,2445,8.56,1.66,8.71,3547.78,138.5,25.62,0.6646389843956625,0.4092664092664091,0.5369526968310359,1312.8493437518828
HV Patel,2557,8.51,1.06,8.6,3666.51,124.5,29.45,0.5633430309441947,0.4305019305019304,0.49692248072306255,1270.630783208871
M Muralitharan,1581,6.7,-10.51,5.99,1579.47,56.0,28.2,0.5964030679714362,0.9343629343629343,0.7653830011671852,1210.0705248453198
RP Singh,1874,7.74,1.17,7.83,2445.34,102.5,23.86,0.7111875165300185,0.5791505791505791,0.6451690478402988,1209.04679565272
IK Pathan,2113,7.7,2.6,7.9,2781.39,94.0,29.59,0.5596403067971436,0.5656370656370655,0.5626386862171046,1188.855543976742
Kuldeep Yadav,2085,7.96,-3.5,7.68,2669.22,86.5,30.86,0.5260513091774663,0.6081081081081081,0.5670797086427872,1182.3611925202113
DS Kulkarni,1876,8.04,3.58,8.32,2602.89,119.0,21.87,0.7638190954773869,0.48455598455598436,0.6241875400166856,1170.9758250713023
K Rabada,1995,8.47,2.02,8.64,2872.98,124.5,23.08,0.7318169796350172,0.4227799227799225,0.5772984512074699,1151.7104101589025
M Morkel,1699,7.54,2.24,7.71,2183.75,97.5,22.4,0.7498016397778366,0.6023166023166022,0.6760591210472194,1148.624446659226
PP Ojha,1945,7.4,4.49,7.73,2506.7,85.0,29.49,0.562285109759323,0.5984555984555984,0.5803703541074607,1128.820338739011
CH Morris,1801,7.92,-1.5,7.8,2341.31,89.0,26.31,0.6463898439566252,0.584942084942085,0.6156659644493552,1108.8144019732886
JA Morkel,1807,8.0,4.28,8.34,2512.16,103.5,24.27,0.7003438243850834,0.48069498069498073,0.590519402540032,1067.0685603898378
R Vinay Kumar,2186,8.35,6.4,8.88,3235.75,111.5,29.02,0.5747156836815658,0.37644787644787625,0.475581780064721,1039.6217712214802
RD Chahar,1703,7.66,-2.24,7.49,2125.22,71.0,29.93,0.550647976725734,0.6447876447876446,0.5977178107566893,1017.9134317186418
JC Archer,1279,7.76,-13.44,6.72,1432.55,69.5,20.61,0.7971436128008463,0.7934362934362933,0.7952899531185698,1017.1758500386508
Shakib Al Hasan,1515,7.38,1.3,7.48,1888.16,74.5,25.34,0.6720444326897647,0.6467181467181466,0.6593812897039557,998.9626539014929
AB Dinda,1589,7.94,1.96,8.1,2144.16,89.0,24.09,0.7051044697170061,0.527027027027027,0.6160657483720166,978.9284741631343
Arshdeep Singh,1708,8.62,0.68,8.68,2469.76,106.0,23.3,0.7259984131182227,0.415057915057915,0.5705281640880688,974.4621042624216
MM Patel,1382,7.52,3.66,7.8,1796.37,91.5,19.63,0.8230626818302037,0.584942084942085,0.7040023833861444,972.9312938396515
PJ Cummins,1669,8.67,-0.38,8.63,2401.85,94.0,25.55,0.666490346469188,0.42471042471042453,0.5456003855898063,910.6070435493867
KK Ahmed,1616,8.74,3.71,9.06,2441.25,105.0,23.25,0.7273208145993124,0.34169884169884157,0.534509828149077,863.7678822889084
